model,sample,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
C_Efficiency_eff_invention_apply_rd_10k,,eff_invention_apply_rd_10k,manufacturing_post2021,0.2653481827918645,0.061553769628415286,1.6339519781860545e-05,25831,5262,6,-0.09633418790885528,PanelOLS
C_Efficiency_eff_invention_apply_rd_10k,,eff_invention_apply_rd_10k,ln_assets,-1.0080953373304877,0.06529933678704292,0.0,25831,5262,6,-0.09633418790885528,PanelOLS
C_Efficiency_eff_invention_apply_rd_10k,,eff_invention_apply_rd_10k,roa,-0.3565988397814431,0.1904727565236864,0.06119621317896584,25831,5262,6,-0.09633418790885528,PanelOLS
C_Efficiency_eff_invention_apply_rd_10k,,eff_invention_apply_rd_10k,cashflow_ratio,0.05181152955935523,0.2326369181898058,0.8237602134653867,25831,5262,6,-0.09633418790885528,PanelOLS
C_Efficiency_eff_invention_apply_rd_10k,,eff_invention_apply_rd_10k,firm_age,0.2105350790377361,0.1348132166593221,0.11837882848214676,25831,5262,6,-0.09633418790885528,PanelOLS
C_Efficiency_eff_invention_grant_rd_10k,,eff_invention_grant_rd_10k,manufacturing_post2021,0.27655203166735437,0.06104469097949924,5.922546176595489e-06,25831,5262,6,-0.1687396047625429,PanelOLS
C_Efficiency_eff_invention_grant_rd_10k,,eff_invention_grant_rd_10k,ln_assets,-0.9820690523019148,0.06456627596064876,0.0,25831,5262,6,-0.1687396047625429,PanelOLS
C_Efficiency_eff_invention_grant_rd_10k,,eff_invention_grant_rd_10k,roa,-0.44318310509069186,0.18367457623692562,0.01583610169817562,25831,5262,6,-0.1687396047625429,PanelOLS
C_Efficiency_eff_invention_grant_rd_10k,,eff_invention_grant_rd_10k,cashflow_ratio,0.13342717702148663,0.22814397667458244,0.5586633338441556,25831,5262,6,-0.1687396047625429,PanelOLS
C_Efficiency_eff_invention_grant_rd_10k,,eff_invention_grant_rd_10k,firm_age,0.262990112812954,0.12961401455546717,0.04246857392999903,25831,5262,6,-0.1687396047625429,PanelOLS
C_Efficiency_eff_invention_apply_staff,,eff_invention_apply_staff,manufacturing_post2021,0.17385484466598106,0.04916871871733733,0.00040730815160761047,25831,5262,6,0.004926435471352186,PanelOLS
C_Efficiency_eff_invention_apply_staff,,eff_invention_apply_staff,ln_assets,-0.7833823358684106,0.047650615399811816,0.0,25831,5262,6,0.004926435471352186,PanelOLS
C_Efficiency_eff_invention_apply_staff,,eff_invention_apply_staff,roa,-0.03672781479084447,0.13846462032501894,0.7908191257793384,25831,5262,6,0.004926435471352186,PanelOLS
C_Efficiency_eff_invention_apply_staff,,eff_invention_apply_staff,cashflow_ratio,0.18618365667070141,0.16883015657106537,0.27013269979900145,25831,5262,6,0.004926435471352186,PanelOLS
C_Efficiency_eff_invention_apply_staff,,eff_invention_apply_staff,firm_age,0.09655456533469389,0.11994004546142206,0.4208153797135221,25831,5262,6,0.004926435471352186,PanelOLS
C_Efficiency_eff_invention_grant_staff,,eff_invention_grant_staff,manufacturing_post2021,0.18437306082839225,0.048618637380674797,0.0001497274262516335,25831,5262,6,-0.08432737902511245,PanelOLS
C_Efficiency_eff_invention_grant_staff,,eff_invention_grant_staff,ln_assets,-0.7599090651734582,0.0472425408926089,0.0,25831,5262,6,-0.08432737902511245,PanelOLS
C_Efficiency_eff_invention_grant_staff,,eff_invention_grant_staff,roa,-0.11909880694567376,0.13234187856909663,0.368166515705878,25831,5262,6,-0.08432737902511245,PanelOLS
C_Efficiency_eff_invention_grant_staff,,eff_invention_grant_staff,cashflow_ratio,0.2659612033453095,0.16495123954103452,0.10689841564211533,25831,5262,6,-0.08432737902511245,PanelOLS
C_Efficiency_eff_invention_grant_staff,,eff_invention_grant_staff,firm_age,0.17628006397434745,0.11641308521687994,0.12997444236251177,25831,5262,6,-0.08432737902511245,PanelOLS
